ID,timestamp,timeInterval,Energy,NodeID,RootNodeID
133355,1769295668.0,3600.0,3,10011,9
133356,1769295668.0,86400.0,3,10011,9
133357,1769295668.0,3600.0,1569,10798,9
133358,1769295668.0,86400.0,2367,10798,9
133359,1769295668.0,3600.0,133,10378,9
133360,1769295668.0,86400.0,133,10378,9
133361,1769295668.0,3600.0,8186.026821,10586,9
133362,1769295668.0,86400.0,10700,10586,9
133363,1769295668.0,3600.0,90,10062,9
133364,1769295668.0,86400.0,422,10062,9
133365,1769295668.0,3600.0,267,10406,9
133366,1769295668.0,86400.0,267,10406,9
133367,1769295668.0,3600.0,155,11992,9
133368,1769295668.0,86400.0,155,11992,9
133369,1769295668.0,3600.0,242,10212,9
133370,1769295668.0,86400.0,493,10212,9
133371,1769295668.0,3600.0,115,10094,9
133372,1769295668.0,86400.0,932,10094,9
133373,1769295668.0,3600.0,675,10277,9
133374,1769295668.0,86400.0,675,10277,9
133375,1769295668.0,3600.0,392.020258,10143,9
133376,1769295668.0,86400.0,1525,10143,9
133377,1769295668.0,3600.0,1246,15284,9
133378,1769295668.0,86400.0,3793,15284,9
133379,1769295668.0,3600.0,198,10384,9
133380,1769295668.0,86400.0,207,10384,9
133381,1769295668.0,3600.0,358,10444,9
133382,1769295668.0,86400.0,3275,10444,9
133383,1769295668.0,3600.0,1465,10161,9
133384,1769295668.0,86400.0,1481,10161,9
133385,1769295668.0,3600.0,31,10679,9
133386,1769295668.0,86400.0,267,10679,9
133387,1769295668.0,3600.0,235.495938,10357,9
133388,1769295668.0,86400.0,1834,10357,9
133389,1769299268.0,3600.0,1552.182013,9,9
133390,1769295668.0,3600.0,86,10918,9
133391,1769295668.0,86400.0,126,10918,9
133392,1769295668.0,3600.0,1940,10499,9
133393,1769295668.0,86400.0,5597,10499,9
133394,1769299268.0,3600.0,158.478458,10082,9
133395,1769299268.0,3600.0,284.656621,10230,9
133396,1769299268.0,3600.0,93.973179,10586,9
133397,1769299268.0,3600.0,310.947785,10243,9
133398,1769299268.0,3600.0,2457.576211,10036,9
133399,1769299268.0,3600.0,689.885208,10042,9
133400,1769299268.0,3600.0,297.587219,10149,9
133401,1769299268.0,3600.0,4557.889449,10368,9
133402,1769299268.0,3600.0,241.429991,10143,9
133403,1769299268.0,3600.0,598.386175,10155,9
133404,1769299268.0,3600.0,152.481343,10268,9
133405,1769299268.0,3600.0,463.496139,10227,9
133406,1769299268.0,3600.0,8163.04108,10482,9
133407,1769299268.0,3600.0,4493.707212,10009,9
133408,1769299268.0,3600.0,2028.635779,10376,9
133409,1769295668.0,3600.0,57,10074,9
133410,1769295668.0,86400.0,198,10074,9
133411,1769299268.0,3600.0,8.497575,10020,9
133412,1769299268.0,3600.0,692.603686,10357,9
133413,1769299268.0,3600.0,339.272884,10276,9
133414,1769299268.0,3600.0,1131.490426,10006,9
133415,1769295668.0,3600.0,181,15,15
133416,1769295668.0,86400.0,624,15,15
133417,1769299268.0,3600.0,1250.18596,7,7
133418,1769295668.0,3600.0,958,15284,7
133419,1769295668.0,86400.0,2753,15284,7
133420,1769295668.0,3600.0,68,10918,7
133421,1769295668.0,86400.0,100,10918,7
133422,1769295668.0,3600.0,111.522969,10149,7
133423,1769295668.0,86400.0,485,10149,7
133424,1769295668.0,3600.0,1507,10499,7
133425,1769295668.0,86400.0,4245,10499,7
133426,1769295668.0,3600.0,115,10052,7
133427,1769295668.0,86400.0,1152,10052,7
133428,1769299268.0,3600.0,122.483308,10082,7
133429,1769299268.0,3600.0,196.488762,10230,7
133430,1769295668.0,3600.0,6238.020829,10586,7
133431,1769295668.0,86400.0,8287,10586,7
133432,1769299268.0,3600.0,72.979171,10586,7
133433,1769299268.0,3600.0,228.459341,10243,7
133434,1769299268.0,3600.0,1835.346419,10036,7
133435,1769299268.0,3600.0,569.641086,10042,7
133436,1769299268.0,3600.0,217.505555,10149,7
133437,1769299268.0,3600.0,3492.778669,10368,7
133438,1769295668.0,3600.0,301.015693,10143,7
133439,1769295668.0,86400.0,1204,10143,7
133440,1769299268.0,3600.0,180.816479,10143,7
133441,1769295668.0,3600.0,229.526108,10155,7
133442,1769295668.0,86400.0,2292,10155,7
133443,1769299268.0,3600.0,445.862283,10155,7
133444,1769295668.0,3600.0,62.517833,10268,7
133445,1769295668.0,86400.0,225,10268,7
133446,1769299268.0,3600.0,113.038386,10268,7
133447,1769299268.0,3600.0,313.002971,10227,7
133448,1769299268.0,3600.0,6322.459206,10482,7
133449,1769299268.0,3600.0,3339.028758,10009,7
133450,1769299268.0,3600.0,1451.939232,10376,7
133451,1769295668.0,3600.0,45,10074,7
133452,1769295668.0,86400.0,110,10074,7
133453,1769295668.0,3600.0,181.996855,10357,7
133454,1769295668.0,86400.0,1411,10357,7
133455,1769299268.0,3600.0,494.268665,10357,7
133456,1769299268.0,3600.0,253.455884,10276,7
133457,1769299268.0,3600.0,873.848017,10006,7
133458,1769295668.0,3600.0,1099,16593,54
133459,1769295668.0,86400.0,1099,16593,54
133460,1769295668.0,3600.0,4558,10586,54
133461,1769295668.0,86400.0,4558,10586,54
133462,1769295668.0,3600.0,23,15284,54
133463,1769295668.0,86400.0,309,15284,54
133464,1769299268.0,3600.0,20897.555879,10482,55
133465,1769295668.0,3600.0,4415.491586,57,57
133466,1769295668.0,86400.0,11551.000001,57,57
133467,1769299268.0,3600.0,5471.060019,57,57
133468,1769295668.0,3600.0,101,15284,57
133469,1769295668.0,86400.0,293,15284,57
133470,1769295668.0,3600.0,262,10376,57
133471,1769295668.0,86400.0,1462,10376,57
133472,1769295668.0,3600.0,210,10499,57
133473,1769295668.0,86400.0,294,10499,57
133474,1769295668.0,3600.0,83,10074,57
133475,1769295668.0,86400.0,131,10074,57
133476,1769299268.0,3600.0,3639.610024,10482,57
133477,1769295668.0,3600.0,885,10499,11
133478,1769295668.0,86400.0,1385,10499,11
133479,1769299268.0,3600.0,8780.352448,10071,59
133480,1769295668.0,3600.0,564,10499,55
133481,1769295668.0,86400.0,564,10499,55
133482,1769295668.0,3600.0,585,10376,8
133483,1769295668.0,86400.0,4765,10376,8
133484,1769295668.0,3600.0,23,10918,8
133485,1769295668.0,86400.0,23,10918,8
133486,1769295668.0,3600.0,1614,10586,8
133487,1769295668.0,86400.0,1736,10586,8
133488,1769295668.0,3600.0,85,10679,8
133489,1769295668.0,86400.0,407,10679,8
133490,1769295668.0,3600.0,29,10378,8
133491,1769295668.0,86400.0,29,10378,8
133492,1769295668.0,3600.0,23,10406,8
133493,1769295668.0,86400.0,23,10406,8
133494,1769295668.0,3600.0,158,11992,8
133495,1769295668.0,86400.0,158,11992,8
133496,1769295668.0,3600.0,52,10277,8
133497,1769295668.0,86400.0,52,10277,8
133498,1769295668.0,3600.0,40,10367,8
133499,1769295668.0,86400.0,104,10367,8
133500,1769295668.0,3600.0,488,15284,8
133501,1769295668.0,86400.0,977,15284,8
133502,1769295668.0,3600.0,20,10011,7
133503,1769295668.0,86400.0,20,10011,7
133504,1769295668.0,3600.0,1202,10798,7
133505,1769295668.0,86400.0,2012,10798,7
133506,1769295668.0,3600.0,102,10378,7
133507,1769295668.0,86400.0,102,10378,7
133508,1769295668.0,3600.0,108,10197,7
133509,1769295668.0,86400.0,2406,10197,7
133510,1769295668.0,3600.0,37,10020,7
133511,1769295668.0,86400.0,78,10020,7
133512,1769295668.0,3600.0,69,10062,7
133513,1769295668.0,86400.0,319,10062,7
133514,1769295668.0,3600.0,204,10406,7
133515,1769295668.0,86400.0,204,10406,7
133516,1769295668.0,3600.0,117,11992,7
133517,1769295668.0,86400.0,117,11992,7
133518,1769295668.0,3600.0,185,10212,7
133519,1769295668.0,86400.0,371,10212,7
133520,1769295668.0,3600.0,88,10094,7
133521,1769295668.0,86400.0,753,10094,7
133522,1769295668.0,3600.0,519,10277,7
133523,1769295668.0,86400.0,519,10277,7
133524,1769295668.0,3600.0,152,10384,7
133525,1769295668.0,86400.0,152,10384,7
133526,1769295668.0,3600.0,275,10444,7
133527,1769295668.0,86400.0,2399,10444,7
133528,1769295668.0,3600.0,242,10442,7
133529,1769295668.0,86400.0,584,10442,7
133530,1769295668.0,3600.0,1107,10161,7
133531,1769295668.0,86400.0,1119,10161,7
133532,1769295668.0,3600.0,23,10679,7
133533,1769295668.0,86400.0,207,10679,7
133534,1769295668.0,3600.0,14,10011,2
133535,1769295668.0,86400.0,14,10011,2
133536,1769295668.0,3600.0,781,10378,2
133537,1769295668.0,86400.0,781,10378,2
133538,1769295668.0,3600.0,43144.085598,10586,2
133539,1769295668.0,86400.0,54252,10586,2
133540,1769295668.0,3600.0,500,10062,2
133541,1769295668.0,86400.0,2327,10062,2
133542,1769295668.0,3600.0,1505,10406,2
133543,1769295668.0,86400.0,1505,10406,2
133544,1769295668.0,3600.0,1053,11992,2
133545,1769295668.0,86400.0,1053,11992,2
133546,1769295668.0,3600.0,633,10094,2
133547,1769295668.0,86400.0,6322,10094,2
133548,1769295668.0,3600.0,3651,10277,2
133549,1769295668.0,86400.0,3651,10277,2
133550,1769295668.0,3600.0,1982.564342,10143,2
133551,1769295668.0,86400.0,8806,10143,2
133552,1769295668.0,3600.0,6349,15284,2
133553,1769295668.0,86400.0,17379,15284,2
133554,1769295668.0,3600.0,1086,10384,2
133555,1769295668.0,86400.0,1131,10384,2
133556,1769295668.0,3600.0,1961,10444,2
133557,1769295668.0,86400.0,13281,10444,2
133558,1769295668.0,3600.0,7700,10161,2
133559,1769295668.0,86400.0,7777,10161,2
133560,1769295668.0,3600.0,217,10679,2
133561,1769295668.0,86400.0,986,10679,2
133562,1769295668.0,3600.0,300,10918,2
133563,1769295668.0,86400.0,469,10918,2
133564,1769295668.0,3600.0,85,10367,2
133565,1769295668.0,86400.0,167,10367,2
133566,1769295668.0,3600.0,1047.987047,10357,2
133567,1769295668.0,86400.0,9695,10357,2
133568,1769299268.0,3600.0,5676.100645,50,50
133569,1769299268.0,3600.0,1083,10803,60
133570,1769295668.0,86400.0,3009,10803,60
133571,1769299268.0,3600.0,6794,10368,56
133572,1769299268.0,3600.0,5938.386992,2,2
133573,1769295668.0,3600.0,5741,10499,2
133574,1769295668.0,86400.0,20412,10499,2
133575,1769299268.0,3600.0,572.931236,10082,2
133576,1769299268.0,3600.0,1141.614909,10230,2
133577,1769299268.0,3600.0,299.914402,10586,2
133578,1769299268.0,3600.0,1044.846208,10243,2
133579,1769299268.0,3600.0,8932.798351,10036,2
133580,1769299268.0,3600.0,1337.36449,10042,2
133581,1769299268.0,3600.0,1218.837208,10149,2
133582,1769299268.0,3600.0,16470.496249,10368,2
133583,1769299268.0,3600.0,944.834829,10143,2
133584,1769299268.0,3600.0,2278.003472,10155,2
133585,1769299268.0,3600.0,594.734134,10268,2
133586,1769299268.0,3600.0,1734.810598,10227,2
133587,1769299268.0,3600.0,24807.241564,10482,2
133588,1769299268.0,3600.0,17826.559394,10009,2
133589,1769299268.0,3600.0,8541.843189,10376,2
133590,1769299268.0,3600.0,2745.587074,10357,2
133591,1769299268.0,3600.0,1394.923075,10276,2
133592,1769299268.0,3600.0,3723.957681,10006,2
133593,1769295668.0,3600.0,202,10586,57
133594,1769295668.0,86400.0,202,10586,57
133595,1769299268.0,3600.0,102604,10923,47
133596,1769299268.0,3600.0,20425,47,47
133597,1769299268.0,3600.0,907,10059,37
133598,1769299268.0,3600.0,21353.311253,10357,37
133599,1769299268.0,3600.0,1684,10074,56
133600,1769299268.0,3600.0,297.481369,10066,11
133601,1769299268.0,3600.0,8764.946538,10482,11
133602,1769299268.0,3600.0,5846.361463,10368,11
133603,1769295668.0,3600.0,114,15284,56
133604,1769295668.0,86400.0,891,15284,56
133605,1769295668.0,3600.0,344,10499,8
133606,1769295668.0,86400.0,954,10499,8
133607,1769299268.0,3600.0,5197.14177,10036,8
133608,1769299268.0,3600.0,149.486162,10009,8
133609,1769299268.0,3600.0,4458.184339,10482,8
133610,1769299268.0,3600.0,205,10276,48
133611,1769299268.0,3600.0,191,10368,57
133612,1769299268.0,3600.0,926.511609,10094,2
133613,1769299268.0,3600.0,947.293201,10052,2
133614,1769299268.0,3600.0,262,10456,2
133615,1769299268.0,3600.0,223,10453,2
133616,1769299268.0,3600.0,2910.867164,10012,2
133617,1769295668.0,86400.0,3572,10012,2
133618,1769299268.0,3600.0,4612.164344,10444,2
133619,1769299268.0,3600.0,620,10604,2
133620,1769295668.0,86400.0,2749,10604,2
133621,1769299268.0,3600.0,262,10061,2
133622,1769295668.0,86400.0,2865,10061,2
133623,1769299268.0,3600.0,3135,10197,2
133624,1769299268.0,3600.0,1928,13700,2
133625,1769295668.0,86400.0,3798,13700,2
133626,1769299268.0,3600.0,367,10501,2
133627,1769295668.0,86400.0,831,10501,2
133628,1769299268.0,3600.0,19.49005,10010,2
133629,1769299268.0,3600.0,1709,10444,17
133630,1769295668.0,86400.0,1709,10444,17
133631,1769299268.0,3600.0,134,10012,8
133632,1769295668.0,86400.0,165,10012,8
133633,1769299268.0,3600.0,306,10368,8
133634,1769299268.0,3600.0,798,10499,60
133635,1769295668.0,86400.0,798,10499,60
133636,1769299268.0,3600.0,6837.377158,54,54
133637,1769295668.0,3600.0,553,10376,54
133638,1769295668.0,86400.0,5257,10376,54
133639,1769295668.0,3600.0,686,16601,54
